SENTIMIENTO DEFINITIVO,TWEET
POSITIVO,1381962188294774792-La 4T avanza. La vacuna contra el #Covid19  llamada #Patria hecha en México. Sale
NEGATIVO,1279094934318878720-@rtoursg @HLGatell Grandísimo P3ND3JO es @HLGatell
POSITIVO,1358314204298547200-Gracias al cielo ya no hay vecinos covidiotas que hagan fiestas y no dejen dormir.
POSITIVO,1260323615955988485-El barroco en tiempos del covid 🦠https://t.co/IaM8zZHOrc 📷 https://t.co/9pXcInq8G7
NEUTRO,1247706191079321600-Ustedes en la cuarentena // Yo
NEGATIVO,1341497091818987527-@gabswow @ChilangoCom Estamos en una contingencia mundial
POSITIVO,1307476997757636608-Fresas en camino 11 en total que ricas 🍓🍓🍓🍓🍓#fresas #huertourbano #huerto #huertoencasa #cosecha #frutas #delicious #plantas #garden #jardin #🍓 en Parques Irazu https://t.co/GkOWFTwzBZ
NEGATIVO,"1360252497575763973-""Que compren las vacunas con el dinero que gasta en proyectos inviables"
NEGATIVO,1382456557942738944-LAS VACUNASSON PARA LOS DE MORENAY LAS SOBRAS PARA L OPOCICION y los DOCTORESNO VOTES POR MORENA ES MUERTE 200 MILL MUERTOS Y PURAS MENTIRASY SEREMOS COMO CUBA Y VENEZUELA
NEUTRO,1297172463294521344-No si @HLGatell logra hacerlos más
NEGATIVO,1322964063291396096-La ciudad de Guanajuato es el lugar perfecto para morir. O te mueres de hambre sin turismo o te mueres de covid por el turismo.  #Covidiotas https://t.co/VLcg2h5YwJ
NEGATIVO,1443052099101671427-La Pandemia aumenta en Oaxaca según Google Maps. Las chicas fras tristemente lo confirman.
NEGATIVO,1421317389497548800-Da miedo la futura y muy pronta crisis de salud en México
NEGATIVO,1275820585377988608-@SoyFedelobo Te la hubieras súper pelado con One Piece. Sale primero la vacuna del covid que esa madre.
NEUTRO,1248104690245603330-En esta cuarentena soy el Oliver Atom cruzando la cancha.
POSITIVO,1268564334017470466-Que tengan un bonito día!#ConCáfeEnMano para alegrar la mañana.  #EnCasaEsMejor Abrazos a distancia #cuidatecuidanos https://t.co/YSyUiGVQOn
POSITIVO,1282087650753753089-@NachoRgz @lopezobrador_ @HLGatell Son los que mejor están trabajando
POSITIVO,1247544720907276293-No hay tráfico por la cuarentena
NEGATIVO,1272020227887443969-Hoy si me esta pegando la cuarentena
POSITIVO,"1395508321994649611-""@lopezobrador_  @SEMARNAT_mx  @CONANP_mx @GobiernoMX @Mary_Luisa_AG : Salvemos a las abejas"
NEGATIVO,1251762301813886977-Tanto pescado por cometer y nosotros en cuarentena!!!💔
NEUTRO,1376225671719030786-Un año de covid https://t.co/lo9GeYmztP
NEGATIVO,1332718138782228480-@bta_Demian Que beneficios políticos o económicos le ofreció la 4T para ser la botarga de AMLO en la pandemia y finalmente:Valió  la pena
NEGATIVO,1281386060644311040-🚨 #ÚLTIMAHORA | México  vuelve a romper récord de nuevos casos de COVID con 7 mil 280 en sólo 24 horas
NEGATIVO,1437518210581110785-Tu té es un pendejo
POSITIVO,1382699225427886094-#Tbt recordando a mi México querido y sus calles
NEGATIVO,1271622651186995200-@DeniseDresserG @HLGatell @Claudiashein @victorsanval Serénese señora y deje de opinar desde su ignorancia
NEGATIVO,1308295355864215555-hoy me despido del mundo realMe voy a mudar a mi mente
NEGATIVO,1325295810549047296-Ya soy covidiota porque ando en una fiesta mjum
NEGATIVO,1250266513573060608-@zoerobledo se dedico a negar todas y cada una de sus declaraciones con el fin de justificar la mala administración del #COVID19mexico
POSITIVO,1339337066610614274-Desde el inicio de la pandemia nos coordinamos para asegurar el desarrollo de nuestras niñas y niños
NEGATIVO,1272366604643377154-Me urge ir a mis clases de baile #YaSaquenLaVacuna 😢
NEUTRO,1385960731691012099-𝗟𝗢𝗦 𝗠𝗢𝗖𝗛𝗜𝗦Fluidez vial en Av Independencia y Cañas @sspsinaloa1 #vialidad #c4isinaloa #911emergencias #ssp #sesesp @MpioAhome #SinaloaQuedateEnCasa #LAVATELASMANOS #SanaDistancia #UsaCubrebocas https://t.co/9Sj21BFVZT
POSITIVO,1332928082328621063-@CartonCalderon Ayer hablaba con un amigo chileno y me dice que en diciembre ya van a tener vacunas
NEGATIVO,1256396607102373888-BOMBA!Ayer pasaste por mi casaY te grite sin pena:A donde ijueputa vas!Si estamos en CUARENTENA!!!Tacatacan tataca tatacatan...
POSITIVO,1263169360870416388-Ahora si aplica en la famoso refrán “esto es más largo que la cuarentena” 🤣
NEUTRO,"1245219428633055232-""@dan_lunav Y es verdad guapo"
NEGATIVO,1265132181061500928-#EXTRA 🦠  Suben muertos y se disparan contagios de #COVID19 este lunes en #QuerétaroEntre los nuevos casos dados a conocer esta noche
NEUTRO,1383413522286080010-@Leilanyland historias de insta cuando la pandemia estaba en su mero pico.
NEUTRO,1426557330603352065-ⓘ Este usuario es AstraZeneca 💉
NEGATIVO,1272632771375054848-Algo no cumplió @zoerobledo o robó
POSITIVO,1283926252492029952-Gracias a la @uady_mx
NEGATIVO,1337635641954160643-De milagro estoy librando 2020 y aún debo sobrevivir prácticamente otro año para que me puedan vacunar... ¿me dicen cuánto cuesta un terreno en el panteón? Gracias.
POSITIVO,1252717394969063424-Recuerda: ¡No estamos de vacaciones! Para cuidar la salud de tu familia y de los demás
POSITIVO,1328464692931682309-Juntos hagamos el mejor equipo. 🤝🦁#LeónMxSanoyProtegido #ReactivemosLeónMX #TeCuidasTúNosCuidamosTodos
NEGATIVO,1285595074689032192-📍 De las y los migrantes poblanos fallecidos en Estados Unidos por #Covid19
NEUTRO,1249485378723237892-Gente con una cruz en en cuello
NEGATIVO,1245184545734918145-Que alguien le diga al coronavirus que ya entendimos todo lo que esta mal en el mundo y en la sociedad y que prometemos trabajar para mejorarlo.. Pero ya por favor que nos dé un break! #COVIDー19mx
NEGATIVO,1284331653121310721-@GMonroyEnergy Mi hijo tiene autismo y ni cuando ha presentado crisis y no son crisis cualquiera
NEGATIVO,1328748002597539840-@Claudiashein hace 14 días me hicieron la prueba de Covid en la Alc Magdalena Contreras y todavía no me pueden dar los resultados
NEGATIVO,1442880273398566920-@UnnaTuitera @RamirezClaudia_ @lopezobrador_ No hay vacunas? Ni inversión? Estas segura? No te parece que no eres objetiva ? No es el mejor gobierno pero tu pasión te gana para hacer una critica constructiva correctamente...
NEGATIVO,1251937504602787841-@amandatonala Seguimos con las medidas por etapa crítica #COVID19 .
NEGATIVO,"1288817516039540736-""""""¿Qué tal que yo me enfermo y muero? ¿Qué tal si fallece mi familia? Me estoy volviendo loca… Me voy a morir"""".El deterioro mental que padece el personal sanitario del país en el combate al #coronavirus#COVID19"""
POSITIVO,"1296447043255382017-""Que los penes se multipliquen como el COVID-19 y se le peguen en la garganta jajja"""
NEGATIVO,1304096654921011204-Se disparan índices criminales en NL. De acuerdo a cifras oficiales en #NuevoLeón
POSITIVO,1405183753077600262-#TodosSomosUno#NosVemosEnLaEscuela  Ante el confinamiento  por #COVID19 los maestros han demostrado que nada los detiene al innovar en sus clases en líneak👩‍🏫Hoy el  te invita a contar tu experiencia 👉Convocatoria 👇https://t.co/hmN8ChAkiI#SomosSnte7 #Sección7SNTE #Chiapas
NEGATIVO,1263893242623528961-#SNTEsalud ⚕️⚠️ ALERTA ⚠️ México vive alto contagio #coronavirus #COVID19 🦠 Ante síntomas no te automediques 💊🚫 ni tomes fármacos que prometen curar el #COVID 💊❌ y llama al 📲 800 00 44 800📱#QuedateEnCasa#FelizViernes #22DeMayo México #Sección35 #FelizFinde #RT https://t.co/wNIfhlJflO
NEGATIVO,1247605367615324161-@LOVREGA @FelipeCalderon Pues como foca aplaudidora te queda bien el papel
NEGATIVO,"1249472711371321344-""No habrá un """"regreso a la normalidad"""" en el mundo tras la pandemia de covid-19 https://t.co/bRO7munVtA vía @UniNoticias @dadams7308"""
NEGATIVO,1347312783415783424-Ya le hizo daño la vacuna.Cuando yo vivía en Alemania todo era paz y tranquilidad
POSITIVO,1435429690433576961-Marcarle a mi preciosita en momento de crisis. 🥺🥺🥺
NEGATIVO,1443723214748897285-@albertoviruete @nenulo Esos hermanos Negrete una bola de vividores
NEUTRO,"1300294843525144576-""@rayados está en crisis- la Crisis https://t.co/aAYKlKFfFS"""
NEGATIVO,1355701594986336256-Uff 😥 🦠🦠🦠#QuedateEnCasa🏡 #Coahuila #Mexico 😢
NEUTRO,1345793971864403970-No sé qué tanto maman con #LadyVacuna
NEUTRO,"1418580550785376262-""@19991007 @soylajefita Ojo"
NEUTRO,1263947799529308160-Hoy en el programa : versiones raras
NEUTRO,1322369049922203648-Hoy participamos nuevamente para el programa de opinión #YoCreo
NEUTRO,1253484090763984902-@ea_puerto @JonadabMartinez @GobiernoJalisco Flexibilidad
POSITIVO,1433941801979711499-@JCarlos_Valerio Dios los cuide y les conceda una pronta recuperación.  Y que cuide y bendiga a aquellos que aún no han presentado síntomas de contagio.
NEGATIVO,1289198749760200706-@CiroGomezL @HLGatell @SSalud_mx ¿Y las sanciones para @lopezobrador_  y @HLGatell por el terrible manejo de la crisis qué?
NEUTRO,1332888608215363586-@Quetzal0518 Ya el canciller Mil Usos
NEGATIVO,1305200318507085825-Cada vez más triste la situación de este virus creado en un laboratorio. Que forma de dañar a la humanidad solo Dios sabe porque intereses.
POSITIVO,1268370216121237504-Haciendo unas ricas #empanadas #hacerpan #QuedateEnCasa #aprende #cocina #panaderia en Atlixco Centro
POSITIVO,1336402658429706240-@ArturoErdely Dr. Arturo gracias por los análisis y estadísticas de Covid 19
NEGATIVO,1271598319362551809-MALDITA PANDEMIA.... 🤦🏻‍♂️
NEGATIVO,1337597829963890690-Despiértame cuando pase el Covid. https://t.co/adp66oYrbE
NEGATIVO,1396974334099353603-@Salvado07797816 @EnriqueAlfaroR Seguro tienes para defender al peor gobierno de la historia reciente de México; pésimo manejo de la pandemia
NEGATIVO,1424716374803423233-Y López persiste en la estúpida idea de las clases presenciales
NEGATIVO,1447715691029696512-Perdón si no e subido nada
NEUTRO,1354580467480199172-Ccp la chapulina antivacunas @LillyTellez https://t.co/lRmllrF5vD
POSITIVO,1259548852303982592-Jajaja algo bien común que veo en la consulta... la mamá diciéndole al Doc todos los síntomas de su hijo adulto 🤦‍♀️ #DíadelasMadres https://t.co/058qWHM5rM
NEUTRO,1287582942395396096-Perdón mi ignorancia @m_ebrard pero ese señor no fue el primero que le dio covid “conocido” de nuestro país? No se supone que se fue a esquiar a Vail y regreso enfermo? Pregunto por qué si es así ¿cuánto tiempo duro su lucha por la enfermedad?
POSITIVO,1263354261364039680-#MédicosDelBienestar: Convocatoria especial para la atención del #COVID19. ¡Inscríbete ya! ➡️ https://t.co/W93o8mBhHJ  https://t.co/dGMGgw2LXU
NEGATIVO,"1414077796192817152-""😔 México reporta más de 9 mil casos positivos de COVID-19 por tercer día consecutivo.https://t.co/gwg3HAfsjla través de @GoogleNews"""
NEGATIVO,1382089966302416900-El @Tu_IMSS_CDMXSur es una mierda igual que su jefe @zoerobledo.Porque lo escribo??Niegan medicamentos.Dan recetas incompletas a pacientes diabéticos.Nunca hay médicos en los consultorios.Exponen a los pacientes al #coronavirus al tenerlos amontonados en la #Unifila
POSITIVO,1449947635054305280-Siempre que estoy en crisis o en problemas olvido que es el Sagrado Corazón de Jesús quien me socorre y defiende. Él tiene siempre el modo o la manera precisa de recordarme que nunca me abandonará
NEGATIVO,1391235127808692230-@g_quadri Ackerman no puede ser rector porque no nació en México.Aunque no me extrañaría su plan de López para desestabilizar a la UNAM.No pudo tumbar a Graue antes de la pandemia
NEGATIVO,1347646983645892609-El pinche covid es un perro virus traicionero.
NEUTRO,1263877838832234496-#cuandoseamosgatos #sinfiltro #fotodeldia #encierro #cuarentena #ciudaddemexico #estotambienescdmx #amanecer en Alcaldía de Milpa Alta https://t.co/LfWzJEmkzs
POSITIVO,1259539048617480192-12:41 #QuédateEnCasa #BuenDesplazamiento registra Av. Insurgentes de Puebla hacia Av. Paseo de la Reforma. #MovilidadCDMX https://t.co/lILtrGodDp
NEGATIVO,1353825659655581696-Nada más bajo y ruin que desear la muerte y festejar el contagio por COVID sea a quien sea. Independientemente de la postura política
NEUTRO,1346109960153915392-Y lo médicos que atienden personas con covid no?
NEUTRO,1351618918629175296-@MaxKaiser75 La vacuna
NEGATIVO,1266078824997040128-El coronavirus no se irá... nunca.Seguirán acuarentenados el resto de sus vidas? https://t.co/FU3IUiwEo0
NEUTRO,"1268350970892742656-""@XX3SK3L3TOXX @IanSalinasM @8BitCR @NianticHelp Covid-19 https://t.co/uwbSk6RZ1P"""
NEUTRO,1287010009579171841-#EnPortada 📰Hoy en @UnivDeportes y @El_Universal_Mx #FelizSábado #QuedateEnCasa https://t.co/4DX6qCFaiJ
POSITIVO,1338709623428308993-@Chivitalix Party Covid ja ja está bueno el gif
NEGATIVO,1272918138007494656-Un organismo débil a causa de una mala alimentación es más propenso a contraer #covid19 y pocas posibilidades de sobrevivir
NEUTRO,1350285821820227590-@StratCons @HLGatell Amigo y protegido del jefe
NEUTRO,1275535037165965314-«De lo que se entera uno
NEGATIVO,1302615634803666952-@TVale2012 De hecho esas cifras son alegres porque la realidad supera mucho los más de 67
NEUTRO,1254160715583238146-Pues claro que Diosito no se va contagiar de coronavirus viejaaaa tontaaaaaa el es Dios y no viene a la tierra
NEUTRO,1350250566971236356-@_karenfifi Tener COVID
NEGATIVO,1374876828138098690-#Ahora en #Aguascalientes #Clima 25ºC🌬La mínima será de 6ºC #CalidadDelAire #AGS    🔴 Muy mala#GDL    🟠 Mala#LEON 🟣 Extremadamente mala#SLP    🔴 Muy mala#ZAC   🔴 Muy mala🚦 #COVID19 🟡 MEDIO riesgo de contagio
NEUTRO,1351984224409157633-@Mcampos4_ @christ_calzada @josepumasanchez @PROFESOR_PIRULO @joserra_espn @ClubAmerica @Rayados Ahí esta al decir que varios había conocido síntomas
POSITIVO,1309893923158896640-La crisis como una oportunidad para el despertar
NEUTRO,1249672711296647170-#online  #videos #QuedateEnCasa  📞 5535518889 #cuarentena ❌❌❌ GRUPO VIP ❌❌❌ Dale muchos #RT 💢💢 ✨✨✨ https://t.co/nOwUDb5m9S
NEUTRO,1442945835059187714-Qué pasa si le detectan Covid a un pasajero un día antes de su vuelo ? Y compro tarifas básicas
NEGATIVO,1251188492815806464-@Nani_Izquierda El Lic Andres M Lopez O recibió un país con muchos problemas.  Todos los profundizó.Ante la crisis mundial no sabe que hacer y nos va a hundir como nunca antes.Hay que hacerlo dimitir.Antes de noviembre 30.  Y convocar a elecciones.#AMLOseVA@OficialFrenaaa
NEUTRO,1436011730878930983-@delfinagomeza @HLGatell @JesusRCuevas @CNDH
NEUTRO,1346891603479293952-Li que me mando el doctor para el covid https://t.co/MiZkqMQxkw
POSITIVO,1351201613743083520-razón por la que quiero que me dé covid:1. donar plasma
NEUTRO,1309492599107985408-@Kratos2011aca @Adela_Roman @HectorAstudillo Si he leído bro
NEUTRO,1310008999870427137-No sé si yo tomo las cosas muy directas o fue con otra intención tome un taxi el cual me hace a plática él conductor hablamos del COVID y de ahí pasamos a qué tenía piedras en el riñón ya que el bebía y que eso lo ponía muy caliente y que tenía que llegar a partir a su mujer
POSITIVO,1266863564909879296-Los campos de golf pasarán a la historia en breve. Un uso energético sustentable y #agrovoltaico sería formidable. Fomentar economía circular
POSITIVO,1252634893848281092-Feliz martes!!#quedateencasa envíos a toda la República#stayhome...............#oaxaca #mexico #travel #swang #beach #lifeisgood #instapic #picoftheday #lifeisgood #love #instagood #nature… https://t.co/n6Tn1bNTNo
NEGATIVO,1351341113794244609-⭕#AlertaCovid 🦠No es un juego... Tabasco acumuló 215 nuevos casos de #COVID19 en las últimas 24 horas
NEUTRO,1263587404268503042-Para buen material sigan a mi amiga 👉🏻🍑 @tualumna 🔥 ¿Quieres ver un vídeo? Da click 👉🏻 https://t.co/tUcBWWmtsV 👈🏻 #QuedateEnCasa  #FicaEmCasa  #StayAtHome  🍑🌶🔥
NEUTRO,1291507597820989440-Ustedes perdonarán lo explícito 😋pero es necesario
NEGATIVO,"1307997663225282560-""¿Cómo puedes celebrar el #DiaInternacionalDeLaPaz? El tema 2020 está relacionado con la lucha contra la #Covid_19"
NEGATIVO,"1322547932244054016-""Pésima política pública que generará un incremento sustancial en casos COVID-19 en Jalisco el “🚨“. Protagonismo y drama."""
NEGATIVO,1247381118145396742-El Jefe de la Jurisdicción Sanitaria #2 de los @SSO_GobOax dio positivo para #Covid_19 pero huyó del Hospital del @ISSSTE_mx en #Oaxaca escupiendo a los pacientes y al personal médico. Todo por no recibir trato preferencial
NEUTRO,1251522118803755015-@JohnMAckerman @HLGatell @CarlosLoret @Javier_Alatorre @DeniseDresserG @SEGOB_mx  @M_OlgaSCordero que va a proceder con el aviso de @Javier_Alatorre en su noticiero de @Azteca donde promovió a nivel Nacional que no hagan caso a las recomendaciones de @HLGatell para la Cuarentena el 17 de abril ?? Urge su actuar
NEUTRO,1249872106302500870-@AnaRM44316054 @ZuritaCarpio @Alejandro_Lelo @HLGatell 🤣🤣🤣🤣
POSITIVO,1327470848647831557-En estos tiempos nuestro mejor amigo es el cubreboca 😷  #QuédateEnCasa
NEUTRO,1379883086188515339-@El_Universal_Mx @lopezobrador_ Ya las llevan
NEUTRO,1366640035748012034-#OjosAlCielo#TimeLapse de la tarde de ayer LUNES 01 DE MARZO
NEGATIVO,"1245861884537876480-""#CuitláhuacHundeAVeracruz En vez de preocuparse y atender la solicitud del pueblo por la amenaza de la pandemia del Covid-19"
POSITIVO,1343598899110408192-Tuve la oportunidad de escuchar a Don Armando Manzanero en un video por zoom reciente de la #SACM y me di cuenta el tipo de líder que era aunado a su música. Hasta nos dio un apoyo económico durante pandemia. Más personas como tú maestro 🙏🏻 tu música se queda para siempre.
NEUTRO,1446338701483724831-Me vine de Colombia y ya dan clases presenciales😥
NEUTRO,1348882782269788161-@econokafka @HLGatell Igual deben pensar quienes piden quiten la candidatura a Salgado Macedonio
NEGATIVO,1291956230802608128-He sentido la brecha generacional bien cabrona en la Familia con dos temas: El COVID y la 4T...
NEGATIVO,1294338129009078272-No madre ademas yo no quiero su pinche vacuna #NiUnVotoAMORENA2021
NEGATIVO,"1251713386544594945-""Monclova mantiene 5 personas hospitalizadas y 30 las como casos sospechosos de COVID-19"""
NEGATIVO,"1352740079010275328-""Este viernes hay 482 casos activos de COVID-19 en #Torreón y 141 en #SanPedro"""
NEGATIVO,1325252057071235073-QUE YA AE VAYAN : TROMP
NEUTRO,1277032549945094145-@HLGatell @SSalud_mx Están diciendo aforos del 50%
NEUTRO,1311151416485048325-Un alumno pide mi cel para justificar una falta
NEGATIVO,1258757006342721537-En México🇲🇽cada hora 155 mujeres 🚺 son violentadas.Ponerle un alto✋🏻a la violencia de género es tarea de todas🙋🏻‍♀️ y todos🙋🏻‍♂️.#EnCasaSinViolencia#MiCompromisoEsServirte https://t.co/xDzA60NHio
NEUTRO,1247522390969421831-@FelipeCalderon Ya ves
NEUTRO,1294049125059530753-#Nacional // #Agronoticias // China halla Coronavirus en camarones procedentes de Ecuadorhttps://t.co/96AaGcWfMv
POSITIVO,1379131038148988932-# Estrategia de vacunasionEdomex
NEGATIVO,1253493993213767684-Para que exponer a todo el personal aún “sano” a este virus tan mortal
NEUTRO,1378731948298878983-@RosaMar01696690 @DrDanielDiazGto @Alan_Sahir @diegosinhue Sí
NEGATIVO,1250062610948595712-@PendejoVirus_19 La respuesta del vato que no es abogado pero que quiere agarrar el pedo jajaja
NEUTRO,1453214310080077825-@40s_alive @ZuritaCarpio @LillyTellez De hecho
POSITIVO,1282485427878928384-@SusanaHre@natszendro@Reactor105#ReactorEnCasaSon de Nezahualcóyotl #LosCogelones deberían sonar en la estacion🎧🎶❤️😎🤘
NEUTRO,1261676126918844417-¿Qué hace un sábado de cuarentena por aquí?
POSITIVO,1301888366737338369-Este fin de semana con todos los cuidados y medidas sanitarias
NEUTRO,1249435584285888515-@HLGatell @Claudiashein @TlalpanAl
POSITIVO,1271211602285662214-Que rico día nublado ☁️... #porquecuarentena
POSITIVO,1446996526979588101-Me tocaba ir a vacunarme mañana y de huevos fui hoy a ponermela...
NEUTRO,1275740744465240066-@alfrechih @jlleralaprensa @ddmexico_bj @VillaDeCortesBJ @2012i8 @Bunnapau1978 @JasulMonee @ddmexico_bj @PODERCIUDAD760 @supercivicosmx @ANTICORRUPCIO17 @iecm @TECDMX @CruzRoja_CDMX #MBFueraDeBJ @RELE_CIDH #SismoConCovid @vecletranvalle @JLMatabuena @VLVN @VillaDeCortesBJ
POSITIVO,1263308083431956480-@alfredodelmazo Sigamos con las medidas sanitarias esto todavía no se acaba
NEGATIVO,1340076554001522697-El pais en la peor crisis económica y de salud en años  resultado de suMEDIOCRE gestión (@GobiernoMX) pero
NEGATIVO,"1283956091475329026-""Se 'olvidan' del COVID-19 y realizan fiestas patronales en el ejido La Paz de Torreón https://t.co/Yu6zNCfwnz"""
NEUTRO,1402642783211565076-@papaesceptico El Pfizer de Bill Gates. https://t.co/rW46FFtUfO
NEUTRO,1297643970105872384-#frases #humor #frasesdealegria #Meme #Mujeres #parejas #hombres #atraccion #pervertidos #relaciones #Sexo #orgasmos #inteligente #cuarentena #ligar #tinder en Guadalajara
POSITIVO,"1280172303268093952-""@Xuanto @AbbyChavez79 @almaldo2 @hdemauleon Más vale acostumbrarnos a la nueva realidad. En México y en el mundo este canijo virus seguirá cobrando vidas humanas por buen rato; afortunadamente cada día se sabe más sobre el Covid-19. Algún día habrá vacuna. #QuedateEnCasa#SusanaDistancia#YolecreoaGatell"""
NEUTRO,1435299097091715075-@MollinedOficial Muy bien hermosa pero y en México cuando acabarán con la famosa vacuna https://t.co/gup4NDoLGi
POSITIVO,1253731380485222400-12:04 Policías de la Secretaría de Seguridad Ciudadana realizan recorridos con Perifoneo en Av. Miguel Ángel de Quevedo y Melchor Ocampo
NEUTRO,1289689478362271744-Coma post empanada
POSITIVO,1332022971314151424-#DosAñosConRumbo ✌️🟠 #SNTEsalud ⚕️ y #CoronaTips 💡 se han convertido en referente y aporte #SNTE en la lucha ante la #COVID19 🦠 en una acción de corresponsabilidad socialCon el #SNTE al 💯👉#UnoSomosTodos #TodosSomosUno ✔️Ver documento 👉 https://t.co/H83riKLNLu https://t.co/FBYx4b1Eit
POSITIVO,1274723385377992705-#50reglasdeoro #Número35 #CuidaTuSalud #FelizDimingo #QuedateenCasa  #BuenDomingo #SanaDistancia #JuntosporlaSalud #Xalapa #devozenvozmx #FelizDíaDelPadre https://t.co/xAsVf3IOtn
